testament,unit_type,Period,unit_name,formula,English,alias_spanish
old,length_distance,,אמה,45 * cm,Cubit,codo
old,length_distance,,אצבע,אמה / 24,Finger,dedo
old,length_distance,,טפח,אמה / 6,Handbreadth,palmo_menor
old,length_distance,,זרת,אמה / 2,Span,palmo
old,length_distance,,אמה_ארוך,7 * טפח,Long cubit,codo_largo
old,length_distance,,קנה,אמה_ארוך * 6,Reed,cana
old,length_distance,,גמד,אמה,,
new,length_distance,,πηχυς,אמה_ארוך,New Testament cubit,codo_nt
new,length_distance,,οργυια,1.8 * metres,Fathom,braza
new,length_distance,,σταδιος,185 * metres,Stade,estadio
new,length_distance,,οδοσ_σαββατου,200 * πηχυς,Shabbath’s day walk,camino_de_un_dia_de_reposo
new,length_distance,,μιλιον,1497 * metres,Roman_mile,milla_romana
old,capacity,Pre-exilic,איפה_א,litres * 10,Ephah,efa_preexilio
old,capacity,Pre-exilic,בת_א,litres * 22,Bath,bato_preexilio
old,capacity,Post-exilic,איפה_ב,litres * 39,Ephah,efa_postexilio
old,capacity,,לג,בת_א / 72,Log,
old,capacity,,קב,איפה_א / 18,Kav,
old,capacity,,עומר,איפה_א / 10,Omer,
old,capacity,,עשרון,עומר,Issaron,isaron
old,capacity,Pre-exilic,הין_א,בת_א / 6,Hin,hin_preexilio
old,capacity,Post-exilic,בת_ב,איפה_ב,Bath,bato_postexilio
old,capacity,Post-exilic,הין_ב,בת_ב / 6,Hin,hin_postexilio
old,capacity,Pre-exilic,סאה_א,איפה_א / 3,Seah,seah_preexilio
old,capacity,Post-exilic,סאה_ב,איפה_ב / 3,Seah,seah_postexilio
old,capacity,,בת_בת,litres * 39,Double_bath,doble_bato
old,capacity,Pre-exilic,חמר_א_א,10 * איפה_א,Homer_preexilic_dry,homer_preexilio_seco
old,capacity,Pre-exilic,חמר_א_ב,10 * בת_א,Homer_preexilic_liquid,homer_preexilio_liquido
old,capacity,Post-exilic,חמר_ב,10 * איפה_ב,Homer_postexilic,homer_postexilio
old,capacity,Pre-exilic,כר_א_א,חמר_א_א,Kor_preexilic_dry,coro_preexilio_seco
old,capacity,Pre-exilic,כר_א_ב,חמר_א_ב,Kor_preexilic_liquid,coro_preexilio_liquido
old,capacity,Post-exilic,כר_ב,חמר_ב,Kor_postexilic,coro_postexilio
old,capacity,,לתך,חמר_א_א / 2,Letek,
new,capacity,,σατον,סאה_ב,New_testament_seah,seah_nuevo_testamento
new,capacity,,βατος,בת_ב,New_testament_bath,bato_nuevo_testamento
new,capacity,,κορος,כר_ב,New_testament_kor,coro_nuevo_testamento
new,capacity,,χοινιξ,litres * 1,Choinix,
new,capacity,,μετρητης,βατος,Metritis,
both,weight,,kilos_of_stuff_from_capacity,litres * (3/2),,
both,weight,,grams_of_stuff_from_capacity,kilos_of_stuff_from_capacity  / 1000,,
old,weight,,שקל,grams * 12,Shekel,siclo
old,weight,,גרה,שקל / 20,Gerah,gera
old,weight,,בקע,שקל / 2,Beka,
old,weight,,מנה,שקל * 60,Mina,
old,weight,,ככר,שקל * 3000,Talent,talento
old,weight,,פים,שקל * 0.66,Pim,
new,weight,,λιτρα,grams * 327,Litra,
new,weight,,ταλαντιαιος,kilograms * 40,Revelation_talent,talento_apocalipsis
